"","Group.1","0.011 µm","0.013 µm","0.015 µm","0.017 µm","0.02 µm","0.023 µm","0.026 µm","0.03 µm","0.034 µm","0.039 µm","0.044 µm","0.051 µm","0.058 µm","0.067 µm","0.076 µm","0.087 µm","0.1 µm","0.115 µm","0.131 µm","0.15 µm","0.172 µm","0.197 µm","0.226 µm","0.259 µm","0.296 µm","0.339 µm","0.389 µm","0.445 µm","0.51 µm","0.584 µm","0.669 µm","0.766 µm","0.877 µm","1.005 µm","1.151 µm","1.318 µm","1.51 µm","1.729 µm","1.981 µm","2.269 µm","2.599 µm","2.976 µm","3.409 µm","3.905 µm","4.472 µm","5.122 µm","5.867 µm","6.72 µm","7.697 µm","8.816 µm","10.097 µm","11.565 µm","13.246 µm","15.172 µm","17.377 µm","19.904 µm","22.797 µm","26.111 µm","29.907 µm","34.255 µm","39.234 µm","44.938 µm","51.471 µm","58.953 µm","67.523 µm","77.34 µm","88.583 µm","101.46 µm","116.21 µm","133.103 µm","152.453 µm","174.616 µm","200 µm","229.075 µm","262.376 µm","300.518 µm","344.206 µm","394.244 µm","451.556 µm","517.2 µm","592.387 µm","678.504 µm","777.141 µm","890.116 µm","1019.515 µm","1167.725 µm","1337.481 µm","1531.914 µm","1754.613 µm","2009.687 µm","2301.841 µm","2500 µm"
"20","KIE4_Ah_0-5cm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512,0.0715,0.0906,0.1142,0.1147,0.1148,0.1173,0.1356,0.1546,0.1863,0.2445,0.3173,0.3969,0.4725,0.5493,0.6306,0.7155,0.8049,0.9017,1.0093,1.1311,1.2689,1.4207,1.5794,1.7317,1.8587,1.9036,1.7705,1.5933,1.4507,1.3966,1.4257,1.4995,1.5858,1.6626,1.7131,1.735,1.7461,1.749,1.7477,1.7442,1.7067,1.6579,1.5889,1.4737,1.5392,1.7362,2.005,2.3521,2.7666,3.2373,3.7893,4.4466,5.1021,5.4912,5.3921,4.9166,4.0526,2.8239,1.6383,0.8454,0.369,0.1167,0.0475,0,0,0,0
"21","KIE4_Al_5-10cm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421,0.0934,0.1167,0.1496,0.1951,0.2124,0.2126,0.1936,0.1727,0.1571,0.1506,0.1552,0.1738,0.2093,0.2771,0.359,0.4466,0.5274,0.61,0.6963,0.7861,0.8801,0.9823,1.0973,1.2302,1.3846,1.5606,1.7526,1.9469,2.1211,2.2074,2.0771,1.8488,1.5982,1.4208,1.3677,1.4194,1.5191,1.612,1.6627,1.6657,1.6479,1.6224,1.5999,1.5855,1.5426,1.5032,1.4537,1.3431,1.4745,1.7805,2.2038,2.7649,3.4521,4.2205,5.0266,5.7636,6.143,5.8308,4.7405,3.3174,1.9921,1.0409,0.5048,0.158,0,0,0,0,0,0,0
"22","KIE4_Bv_10-40cm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539,0.1029,0.1947,0.306,0.419,0.5353,0.632,0.6802,0.6566,0.5569,0.4088,0.266,0.1757,0.1284,0.099,0.0882,0.1249,0.1629,0.2299,0.3317,0.4508,0.5756,0.7066,0.8406,0.9674,1.0802,1.1792,1.2692,1.3581,1.4535,1.5614,1.6834,1.8167,1.952,2.0764,2.1521,2.0959,1.9438,1.7097,1.4324,1.174,0.9975,0.9319,0.9613,1.044,1.1467,1.2486,1.3414,1.4242,1.493,1.5329,1.5516,1.5339,1.4633,1.5539,1.7734,2.055,2.37,2.6916,3.0099,3.3623,3.784,4.2479,4.6427,4.7632,4.4935,3.7157,2.5717,1.4871,0.7432,0.3647,0.0718,0,0,0,0,0
"23","KIE4_Bv_100-110cm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,0.3071,0.5449,0.8331,1.0531,1.008,0.7183,0.4814,0.3291,0.2443,0.2033,0.1906,0.1989,0.2422,0.2986,0.3575,0.4045,0.4524,0.502,0.5497,0.5935,0.6328,0.6702,0.7091,0.7532,0.8052,0.8657,0.9317,0.9971,1.0532,1.0957,1.1147,1.0966,1.0374,0.9473,0.8449,0.7489,0.67,0.6136,0.5839,0.5872,0.6094,0.6511,0.7133,0.7739,0.8543,0.965,1.1101,1.3798,1.7916,2.3246,2.939,3.5389,4.0253,4.4053,4.7646,5.1875,5.7573,6.2771,6.459,5.9645,4.8104,3.4781,2.2365,1.3417,0.7806,0.4086,0.032,0,0,0
"24","KIE4_Bv_40-72cm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1088,0.1987,0.3582,0.4969,0.5861,0.5847,0.4789,0.3264,0.2195,0.0989,0.077,0.0673,0.0668,0.1422,0.1975,0.2682,0.3437,0.4172,0.4945,0.5716,0.6424,0.703,0.7539,0.7988,0.8437,0.8935,0.9516,1.0186,1.0904,1.1602,1.2183,1.2584,1.2702,1.2405,1.1692,1.071,0.9678,0.8799,0.8188,0.788,0.7946,0.8477,0.9279,1.0337,1.1622,1.2868,1.4213,1.5566,1.6804,1.9312,2.316,2.8086,3.3916,3.9918,4.5135,4.9385,5.3172,5.6224,5.73,5.4909,5.0137,4.288,3.2763,2.2365,1.3912,0.8285,0.4603,0.105,0,0,0,0
"25","KIE4_Bv2_72-100cm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1382,0.2741,0.4846,0.7374,0.928,0.8829,0.6245,0.4171,0.2869,0.2169,0.1866,0.1836,0.2032,0.2624,0.3378,0.4177,0.4884,0.562,0.6383,0.7121,0.7806,0.8435,0.9034,0.9655,1.0328,1.1084,1.1894,1.27,1.339,1.3858,1.4069,1.3842,1.3055,1.1762,1.0192,0.8629,0.7286,0.6274,0.5597,0.5294,0.5428,0.5845,0.6569,0.7638,0.8836,1.046,1.2582,1.508,1.9127,2.4805,3.1741,3.9446,4.6749,5.2425,5.6316,5.8652,5.9051,5.7297,5.202,4.3924,3.402,2.3999,1.6076,1.0251,0.5696,0.1987,0,0,0,0,0
"26","KIE5_Ah_0-20cm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539,0.1464,0.2032,0.2592,0.308,0.358,0.403,0.4379,0.4624,0.4797,0.4937,0.5094,0.531,0.5622,0.6049,0.6584,0.7207,0.7876,0.8513,0.9067,0.9469,0.9599,0.9418,0.8992,0.8459,0.7964,0.7597,0.7408,0.7467,0.7882,0.851,0.9359,1.0437,1.1494,1.273,1.4155,1.5718,1.8565,2.2869,2.8421,3.4978,4.1671,4.7353,5.1594,5.4734,5.6652,5.6571,5.4045,5.1285,4.852,4.387,3.7411,3.0152,2.3943,1.6036,0.9482,0.5602,0.1775,0.0458,0
"27","KIE5_Ah-Bv-Al_20-35cm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.0106,0.0428,0.1046,0.1467,0.1963,0.2476,0.2937,0.3374,0.3778,0.4119,0.4393,0.4606,0.4793,0.4988,0.5229,0.5539,0.5935,0.6408,0.6939,0.7479,0.7964,0.835,0.8576,0.8552,0.8259,0.7767,0.7198,0.6677,0.6282,0.6057,0.6064,0.6395,0.6939,0.7703,0.8699,0.9722,1.0956,1.2394,1.3955,1.6671,2.0733,2.6038,3.2438,3.9166,4.5124,4.9932,5.4101,5.7808,6.0376,6.0348,5.8416,5.4437,4.8112,4.0964,3.2937,2.5158,1.816,1.2455,0.6919,0.3118,0,0
"28","KIE5_Sd-Bt_45-100cm",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165,0.0296,0.0725,0.1776,0.3063,0.4842,0.7583,1.1169,1.4676,1.6593,1.5745,1.2311,0.7812,0.4135,0.2136,0.112,0,0,0,0,0.0821,0.1766,0.2679,0.3815,0.5145,0.6695,0.8383,1.0067,1.1631,1.3024,1.4258,1.5406,1.6535,1.7685,1.8829,1.9862,2.0631,2.0997,2.0746,1.9629,1.758,1.5171,1.288,1.1029,0.9698,0.8833,0.8352,0.8302,0.8618,0.921,1.0103,1.1236,1.2474,1.394,1.5415,1.6879,1.8998,2.1423,2.4335,2.7192,2.9493,3.1383,3.3413,3.5849,3.8402,4.0158,3.9792,3.6683,3.0341,2.2116,1.4228,0.8509,0.4467,0.0775,0,0,0,0,0
"29","KIE5_Sw-Al_35-45cm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101,0.0208,0.0101,0,0,0,0,0.0988,0.1423,0.1791,0.2143,0.246,0.2768,0.3054,0.3309,0.353,0.3732,0.3932,0.4152,0.4406,0.47,0.5025,0.5361,0.5672,0.5924,0.6083,0.6116,0.5985,0.5695,0.5306,0.4908,0.4576,0.4372,0.4321,0.4477,0.4931,0.5603,0.6525,0.7712,0.903,1.0621,1.2421,1.4301,1.735,2.1818,2.7615,3.4531,4.1612,4.7491,5.1588,5.4426,5.6516,5.7671,5.7096,5.5902,5.3885,5.0071,4.5311,3.9203,3.2479,2.5723,1.9633,1.2077,0.6998,0.301,0.0253
"30","KIE6_Ah_0-10cm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0978,0.1348,0.1697,0.2033,0.2319,0.2581,0.2812,0.2997,0.314,0.3258,0.3377,0.3524,0.3728,0.4014,0.4403,0.4902,0.5506,0.6185,0.6891,0.7586,0.8215,0.8647,0.8792,0.8636,0.825,0.7743,0.7218,0.6736,0.6388,0.6281,0.6332,0.656,0.699,0.7397,0.8019,0.8971,1.0275,1.2668,1.6396,2.1472,2.7843,3.4921,4.1735,4.7802,5.345,5.876,6.2925,6.4849,6.5766,6.494,5.9745,5.0564,3.8935,2.8156,1.9479,1.3348,0.7416,0.4119,0,0
"31","KIE6_Ah-Bv_10-18cm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1259,0.1734,0.1787,0.1626,0.1401,0.1217,0.1126,0.1138,0.1252,0.1552,0.1899,0.2241,0.2533,0.2821,0.3111,0.3389,0.3651,0.3907,0.4173,0.447,0.4817,0.523,0.5711,0.6242,0.6795,0.7311,0.7759,0.8086,0.8213,0.8091,0.7751,0.7276,0.6768,0.6304,0.593,0.5701,0.5701,0.5844,0.6146,0.6625,0.7085,0.7728,0.8651,0.9857,1.21,1.5614,2.0481,2.6819,3.4283,4.2182,5.0166,5.8456,6.6778,7.3592,7.581,7.3227,6.5841,5.4298,4.1805,2.9892,2.0523,1.3924,0.7736,0.4299,0.0304,0,0
"32","KIE6_Bv_18-70cm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0648,0.165,0.2311,0.2731,0.2528,0.1836,0.1289,0.0103,0,0,0,0,0.1208,0.1566,0.1925,0.2253,0.2585,0.2913,0.3221,0.3509,0.3777,0.4053,0.4351,0.4694,0.5088,0.5524,0.597,0.6387,0.6722,0.6951,0.7004,0.6831,0.6436,0.5896,0.5325,0.4814,0.4415,0.4148,0.4034,0.4111,0.43,0.4604,0.5031,0.5444,0.5975,0.6682,0.7601,0.9377,1.2286,1.6515,2.2321,2.9579,3.7767,4.6653,5.6402,6.6331,7.4463,7.7821,7.667,7.0959,6.0621,4.8649,3.675,2.7038,1.9886,1.3911,0.9226,0.5186,0.2141,0.103
"33","KIE6_ICv_70-100cm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1681,0.2922,0.4446,0.5521,0.5604,0.4557,0.29,0.1607,0.0209,0.0139,0,0,0,0,0.0118,0.1349,0.1815,0.2303,0.2842,0.3409,0.3963,0.4481,0.4956,0.5414,0.5886,0.6401,0.6981,0.7617,0.8279,0.8897,0.9402,0.9757,0.9853,0.9601,0.9008,0.8202,0.7358,0.6628,0.609,0.5776,0.5723,0.6,0.6475,0.7148,0.8015,0.8888,0.9914,1.1078,1.2298,1.4552,1.7988,2.2547,2.8281,3.4834,4.1548,4.8178,5.492,6.1342,6.6069,6.7007,6.482,5.9195,4.9505,3.8243,2.7361,1.8849,1.2574,0.6988,0.3419,0.031,0,0
